group;name;protein;fat;carb;calorie
Tejkészítmények;Juhtej;6,1;7,2;5;113
Tejkészítmények;Kancatej;2,1;0,6;6,7;42
Tejkészítmények;Kecsketej;3,6;3,9;4,7;70
Tejkészítmények;Kefír (sovány);3,4;0,1;4,6;34
Tejkészítmények;Krémjoghurt;3,4;5;4,6;80
Tejkészítmények;Sovány túró;14,1;0,5;3,8;76,1
Tejkészítmények;Sűrített tej, cukrozatlan;7;7,5;9,8;139
Tejkészítmények;Sűrített tej, cukrozott;8,5;7;54,9;325
Tejkészítmények;Tehéntej 0,1%;3,4;0,1;5,3;35,7
Tejkészítmények;Tehéntej 1,5%;3,4;1,5;5,3;50
Tejkészítmények;Tehéntej 2,8%;3,4;2,8;5,3;62
Tejkészítmények;Tehéntej, homogénezett, pasztőrözött;3,4;3,6;5,3;69
Tejkészítmények;Tehéntúró, félzsíros;16,2;7;3,7;147
Tejkészítmények;Tehéntúró, sovány;14,1;0,5;3,8;78
Tejkészítmények;Tehéntúró, zsíros;17,9;12,2;3,5;201
Tejkészítmények;Tej, csokoládés;3,2;1,5;11;72
Tejkészítmények;Tej, kakaós (sovány);3,5;0,5;11,4;66
Tejkészítmények;Tej, kávés (Ice coffe);3,5;1,5;13;82
Tejkészítmények;Tejföl 12%;3,4;12;4;137,6
Tejkészítmények;Tejföl 20%;3,3;20;3,9;216
Tejkészítmények;Tejkrém (cukrozott, sűrített);8,5;7;55,5;327
Tejkészítmények;Tejpor, sovány;36;2;50,3;373
Tejkészítmények;Tejpor, zsíros;25,5;27;37;507
Tejkészítmények;Tejszín;3,3;20;3,9;208,8
Tejkészítmények;Tejszínhab;2,6;30;3;302
Tejkészítmények;Tejszínhab, ízesített;2,3;26;11;297
Húskészítmények, belsőségek;Bárány, juhhús (sovány);19,7;12,7;0,3;200
Húskészítmények, belsőségek;Békacomb;24,2;0,9;2,9;119
Húskészítmények, belsőségek;Birka (közepes);16,9;26,4;0,3;316
Húskészítmények, belsőségek;Borjú;19,5;4,5;0,3;123
Húskészítmények, belsőségek;Csiga, éti;17,6;1;0,2;82
Húskészítmények, belsőségek;Csirke, comb;20,9;5,2;0,5;136
Húskészítmények, belsőségek;Csirkemell filé;24,7;1;0,5;109
Húskészítmények, belsőségek;Fácán;22,3;1,9;0,5;111
Húskészítmények, belsőségek;Fogoly;20,5;1,2;0,4;97
