group;name;protein;fat;carb;calorie
Tejkészítmények;Bivalytej;5,8;26;1,8;349
Tejkészítmények;Joghurt 0%;3,4;0,1;4,6;32,9
Tejkészítmények;Joghurt, gyümölcsös;3,5;2;10,3;74
Tejkészítmények;Juhtej;6,1;7,2;5;113
Tejkészítmények;Kancatej;2,1;0,6;6,7;42
Tejkészítmények;Kecsketej;3,6;3,9;4,7;70
Tejkészítmények;Kefír (sovány);3,4;0,1;4,6;34
Tejkészítmények;Krémjoghurt;3,4;5;4,6;80
Tejkészítmények;Sovány túró;14,1;0,5;3,8;76,1
Tejkészítmények;Sűrített tej, cukrozatlan;7;7,5;9,8;139
Tejkészítmények;Sűrített tej, cukrozott;8,5;7;54,9;325
Tejkészítmények;Tehéntej 0,1%;3,4;0,1;5,3;35,7
Tejkészítmények;Tehéntej 1,5%;3,4;1,5;5,3;50
Tejkészítmények;Tehéntej 2,8%;3,4;2,8;5,3;62
Tejkészítmények;Tehéntej, homogénezett, pasztőrözött;3,4;3,6;5,3;69
Tejkészítmények;Tehéntúró, félzsíros;16,2;7;3,7;147
Tejkészítmények;Tehéntúró, sovány;14,1;0,5;3,8;78
Tejkészítmények;Tehéntúró, zsíros;17,9;12,2;3,5;201
Tejkészítmények;Tej, csokoládés;3,2;1,5;11;72
Tejkészítmények;Tej, kakaós (sovány);3,5;0,5;11,4;66
Tejkészítmények;Tej, kávés (Ice coffe);3,5;1,5;13;82
Tejkészítmények;Tejföl 12%;3,4;12;4;137,6
Tejkészítmények;Tejföl 20%;3,3;20;3,9;216
Tejkészítmények;Tejkrém (cukrozott, sűrített);8,5;7;55,5;327
Tejkészítmények;Tejpor, sovány;36;2;50,3;373
Tejkészítmények;Tejpor, zsíros;25,5;27;37;507
Tejkészítmények;Tejszín;3,3;20;3,9;208,8
Tejkészítmények;Tejszínhab;2,6;30;3;302
Tejkészítmények;Tejszínhab, ízesített;2,3;26;11;297
Húsok;Bárány, juhhús (sovány);19,7;12,7;0,3;200
Húsok;Békacomb;24,2;0,9;2,9;119
Húsok;Birka (közepes);16,9;26,4;0,3;316
Húsok;Borjú;19,5;4,5;0,3;123
Húsok;Csiga, éti;17,6;1;0,2;82
Húsok;Csirke, comb;20,9;5,2;0,5;136
Húsok;Csirkemell filé;24,7;1;0,5;109
Húsok;Fácán;22,3;1,9;0,5;111
Húsok;Fogoly;20,5;1,2;0,4;97
Húsok;Fürj, comb (japán);19,6;5;1,2;132
Húsok;Fürj, mell (japán);22,8;2,3;1,1;119
Húsok;Galamb;19,6;5;1,2;130
Húsok;Kacsa, pecsenye;19;12;0,4;191
Húsok;Kagyló;9;2;6,5;82
Húsok;Kappan;19,3;9,3;0,4;167
Húsok;Liba, hízott;16;35;0,2;392
Húsok;Liba, pecseny;18,5;13,6;0,3;203
Húsok;Marha, bélszín;19;4,4;0,6;121
Húsok;Marha, felsál;17;19;0,6;249
Húsok;Marha, hátszín, lapos;15;18;0,6;231
Húsok;Marha, hátszín, magas;19;17,2;0,6;240
Húsok;Marha, hátszín, puha;19,7;17,8;0,6;249
Húsok;Marha lapocka;21;6,2;0,6;147
Húsok;Marha szegy;16;21;0,5;263
Húsok;Marha tarja;20;6;0,6;140
