Gyümölcsök, gyümölcskészítmények;Citrom;0.4;0;2.3;27
Gyümölcsök, gyümölcskészítmények;Citromlé;0.4;0;2.3;61
Gyümölcsök, gyümölcskészítmények;Cseresznye;0.8;0;14.2;65
Gyümölcsök, gyümölcskészítmények;Csipkebogyó, lekvér;0.5;0;58.3;248
Gyümölcsök, gyümölcskészítmények;Datolya (préselt);1.9;0;72.3;304
Gyümölcsök, gyümölcskészítmények;Dinnye (sárga húsú);0.3;0;9.4;39
Gyümölcsök, gyümölcskészítmények;Dinnye (zöld húsú);0.3;0;11.2;48
Gyümölcsök, gyümölcskészítmények;Földieper (szamóca);0.9;0;7.3;36
Gyümölcsök, gyümölcskészítmények;Füge, szárított;3.6;0;62.2;266
Gyümölcsök, gyümölcskészítmények;Gesztenyekrém (gyorsfagyasztott);2.1;0.6;43.5;191
Gyümölcsök, gyümölcskészítmények;Gesztenyepüré (gyorsfagyasztott);2;0.6;47.9;215
Gyümölcsök, gyümölcskészítmények;Grapefruit;0.5;0;7.1;35
Gyümölcsök, gyümölcskészítmények;Gyümölcssaláta;0.7;0;13.6;62
Gyümölcsök, gyümölcskészítmények;Görögdinnye;0.5;0;6.4;29
Gyümölcsök, gyümölcskészítmények;Kajszibarack;0.9;0;10.3;49
Gyümölcsök, gyümölcskészítmények;Kiwi;1;0;11.2;53.6
Gyümölcsök, gyümölcskészítmények;Körte;0.4;0;11.8;50.3
Gyümölcsök, gyümölcskészítmények;Körte befőtt;0.3;0;24;101
Gyümölcsök, gyümölcskészítmények;Mandarin;1.7;0;11;52.2
Gyümölcsök, gyümölcskészítmények;Mazsola;3.4;0;61.9;271.7
Gyümölcsök, gyümölcskészítmények;Meggy;0.8;0;11.3;54
Gyümölcsök, gyümölcskészítmények;Meggy (gyorsfagyasztott);0.5;0;11;50
Gyümölcsök, gyümölcskészítmények;Meggy befőtt;0.6;0;20.6;88
Gyümölcsök, gyümölcskészítmények;Meggy dzsem, üveges;0.4;0;70.4;294
Gyümölcsök, gyümölcskészítmények;Málna;1.2;0;5.5;29
Gyümölcsök, gyümölcskészítmények;Málna (Fertődi, gyorsfagyasztott);1.1;0;6.1;37
Gyümölcsök, gyümölcskészítmények;Málna (Nagymarosi gyorsfagyasztott);1.4;0;13.1;63
Gyümölcsök, gyümölcskészítmények;Málna dzsem, üveges;1.5;0;63.2;261
Gyümölcsök, gyümölcskészítmények;Narancs;0.6;0;8.4;39
Gyümölcsök, gyümölcskészítmények;Narancslé;1.6;0;8.4;48.9
Gyümölcsök, gyümölcskészítmények;Nektarin;0.4;0;11.5;50
Gyümölcsök, gyümölcskészítmények;Ribizke , vörös (gyorsfagyasztott);1.2;0;5.2;32
Gyümölcsök, gyümölcskészítmények;Ribizke, fekete;0.9;0;9.6;49
Gyümölcsök, gyümölcskészítmények;Ribizke, fekete (gyorsfagyasztott);1.9;0;9.4;58
Gyümölcsök, gyümölcskészítmények;Ribizke, vörös;0.6;0;7.1;36
Gyümölcsök, gyümölcskészítmények;Szeder;0.8;0;5.9;32
Gyümölcsök, gyümölcskészítmények;Szeder (gyorsfagyasztott);1.6;0;6.5;39
Gyümölcsök, gyümölcskészítmények;Szilva;0.7;0;12.9;57.7
Gyümölcsök, gyümölcskészítmények;Szilva befőtt;0.4;0;22.2;94
Gyümölcsök, gyümölcskészítmények;Szilva, Besztercei;0.7;0;12.9;56
Gyümölcsök, gyümölcskészítmények;Szilva, Zöldringló;0.8;0;13.6;62
Gyümölcsök, gyümölcskészítmények;Szilva, aszalt;2.3;0;61.9;270
Gyümölcsök, gyümölcskészítmények;Szilva, vörös;0.8;0;10.4;49
Gyümölcsök, gyümölcskészítmények;Szilvaíz, natúr;1.3;0;53.8;227
Gyümölcsök, gyümölcskészítmények;Szőlő;0.6;0;18.2;80.3
Gyümölcsök, gyümölcskészítmények;Sárgabarack dzsem, üveges;0.4;0;64.3;263
Gyümölcsök, gyümölcskészítmények;Vegyes gyümölcs;0.7;0;9.9;49
Gyümölcsök, gyümölcskészítmények;Vegyes íz;1;0;60.3;258
Gyümölcsök, gyümölcskészítmények;alma;0.4;0.4;7.1;37
Gyümölcsök, gyümölcskészítmények;alma befőtt;0.3;0.3;20;84
Gyümölcsök, gyümölcskészítmények;ananász;0.4;0.1;11.9;52
Gyümölcsök, gyümölcskészítmények;ananász befőtt;0.4;0.2;20.1;87
Gyümölcsök, gyümölcskészítmények;aszalt alma;1.4;1.6;55.5;254
Gyümölcsök, gyümölcskészítmények;aszalt füge;3.6;1.3;54.2;250
Gyümölcsök, gyümölcskészítmények;aszalt szilva;2.3;0.6;47.2;215
Gyümölcsök, gyümölcskészítmények;aszalt sárgabarack;5.1;0.5;70.5;313
Gyümölcsök, gyümölcskészítmények;aszalt őszibarack;5;1;66;304
Gyümölcsök, gyümölcskészítmények;avokádó;2;15.4;7.5;178
Gyümölcsök, gyümölcskészítmények;banán;1.3;0.1;24;101
Gyümölcsök, gyümölcskészítmények;banánchips;3.3;20.1;62.8;451
Gyümölcsök, gyümölcskészítmények;besztercei szilva;0.7;0.2;13.2;61
Gyümölcsök, gyümölcskészítmények;birsalma;0.6;0.9;9.2;51
Gyümölcsök, gyümölcskészítmények;birsalma lekvár;0.2;0;58.6;234
Gyümölcsök, gyümölcskészítmények;birsalmabefőtt;0.4;0.5;20.6;92
Gyümölcsök, gyümölcskészítmények;citrom;0.4;0.6;2.3;29
Gyümölcsök, gyümölcskészítmények;cseresznye;0.8;0.3;13.9;64
Gyümölcsök, gyümölcskészítmények;cseresznyebefőtt;0.6;0.2;19.6;83
Gyümölcsök, gyümölcskészítmények;csipkebogyó;3.7;1.3;8.1;67
Gyümölcsök, gyümölcskészítmények;csipkebogyó lekvár;0.5;0;58.1;239
Gyümölcsök, gyümölcskészítmények;cukordinnye;0.3;0.1;10.9;45
Gyümölcsök, gyümölcskészítmények;datolya;1.9;0.5;66.4;284
Gyümölcsök, gyümölcskészítmények;egres;0.6;0.2;8.1;42
Gyümölcsök, gyümölcskészítmények;eper;0.9;0.4;7.1;38
Gyümölcsök, gyümölcskészítmények;eper befőtt;0.6;0.2;18;76
Gyümölcsök, gyümölcskészítmények;eper lekvár;0.4;0;58.4;241
Gyümölcsök, gyümölcskészítmények;fekete ribizli;0.9;0.2;9.4;48
Gyümölcsök, gyümölcskészítmények;fekete áfonya;0.6;0.6;19.9;92
Gyümölcsök, gyümölcskészítmények;grapefruit;0.5;0.2;7.3;37
Gyümölcsök, gyümölcskészítmények;gránátalma;0.7;0.6;16.9;79
Gyümölcsök, gyümölcskészítmények;görögdinnye;0.5;0.2;6.6;32
Gyümölcsök, gyümölcskészítmények;kiwi;1;0.6;11.2;60
Gyümölcsök, gyümölcskészítmények;kókuszreszelék;5.7;62.3;6.5;615
Gyümölcsök, gyümölcskészítmények;körte;0.4;0.3;11.8;51
Gyümölcsök, gyümölcskészítmények;körte befőtt;0.3;0;23.9;99
Gyümölcsök, gyümölcskészítmények;mandarin;0.7;0.3;9.9;49
Gyümölcsök, gyümölcskészítmények;mangó;0.5;0.3;16.8;71
Gyümölcsök, gyümölcskészítmények;mazsola;2.4;0;65.1;289
Gyümölcsök, gyümölcskészítmények;meggy;0.8;0.5;11.1;57
Gyümölcsök, gyümölcskészítmények;meggy befőtt;0.6;0.2;20.6;88
Gyümölcsök, gyümölcskészítmények;meggy lekvár;0.4;0;70.2;286
Gyümölcsök, gyümölcskészítmények;mirelit cseresznye;0.8;0.3;13.9;64
Gyümölcsök, gyümölcskészítmények;mirelit egres;0.6;0.2;7.9;38
Gyümölcsök, gyümölcskészítmények;mirelit földieper;0.9;0.4;7.3;41
Gyümölcsök, gyümölcskészítmények;mirelit gesztenyemassza;2.9;0.9;49.6;221
